fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,July,29,TAMIL NADU,2913,THANJAVUR,1222938,258.892700909467,8,828,1382.289349818,3280,0,10040,642354,194512,116860,487,119,250.34753,3295.644499818,73534,79062,272154,366489,0,298291,395500,13320,1663.00762,544084,52,38.29,31.63,100,NA
2025-2026,July,29,TAMIL NADU,2914,NAGAPATTINAM,500601,342.05006316956,12,61,198.5642988,3112,0,3702,162420,68618,82745,264,250,84.00998,838.1319914,13434,16024,106675,164802,0,119797,180428,6814,555.5577126,122501,72,13.11,9.6,100,NA
2025-2026,July,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,1145915,278.422580788725,7,2435,780.0447603,3875,0,6204,936981,189476,82947,10862,5098,171.81023,3560.621672,123971,128115,302441,374560,1,322369,400992,10079,2608.7666817,816821,53,36.46,52.72,100,NA
2025-2026,July,29,TAMIL NADU,2904,VILLUPURAM,2645090,238.717391525326,9,7964,3557.235818079,3828,0,11420,2530245,738711,176702,31783,6879,327.29107,9924.66175127899,254894,270083,429046,599224,1,459216,641511,15248,6040.13486319998,2087933,53,47.46,50.43,100,NA
2025-2026,July,29,TAMIL NADU,2906,TIRUVANNAMALAI,4145923,172.380700351952,10,13468,3765.4924691,4123,0,10914,3455020,800364,149847,93923,27692,457.75476,10179.0349024,331139,348354,513049,656849,0,540708,686656,15037,5955.7876733,2860712,48,53.7,55.31,100,NA
2025-2026,July,29,TAMIL NADU,2909,DHARMAPURI,1175658,278.496030264084,8,1146,1665.1970628,2385,0,8350,873048,117711,37771,36190,8423,146.09769,4242.69877509998,97666,101518,242371,277076,0,277106,314128,10735,2431.40402229998,805721,57,60.22,64.87,100,NA
2025-2026,July,29,TAMIL NADU,2915,TIRUVARUR,589899,325.821173287667,9,411,1246.2126434,5153,0,5524,321754,140849,145074,12,39,173.14858,2467.7038813,33972,39062,179147,271462,2,197641,293612,10677,1048.3426579,248577,48,24.03,20.73,100,NA
2025-2026,July,29,TAMIL NADU,2917,KARUR,775793,336.392348295986,9,683,417.1441787,3851,0,2681,349381,82671,36375,55,26,90.65455,1683.0896791,37734,38990,123927,154739,0,142751,177446,6532,1175.2909504,304074,70,47.62,78.6,100,NA
2025-2026,July,29,TAMIL NADU,2920,MADURAI,1871254,291.284174774025,8,2781,3641.456024465,4937,0,9999,1101674,225829,66909,1336,662,202.66569,7053.12373406499,137598,143232,272414,320459,0,299922,360773,14936,3209.00201959999,982404,60,42.26,42.76,100,NA
2025-2026,July,29,TAMIL NADU,2922,DINDIGUL,1423540,324.962188956242,10,1998,3857.0377738,9354,0,9667,917387,231759,82987,780,363,258.33248,7096.5311302,89280,92920,282108,341619,0,314573,376416,19021,2981.1608764,786978,78,42.89,56.79,100,NA
2025-2026,July,29,TAMIL NADU,2924,VIRUDHUNAGAR,1668605,282.832386773534,12,2181,1884.6788054,1760,0,3836,1163818,351987,75906,148,118,163.73208,5340.0651125,89804,94015,216347,265550,0,247723,299739,5596,3291.6542271,991885,42,23.56,63.81,100,NA
2025-2026,July,29,TAMIL NADU,2931,ARIYALUR,807213,289.951386630399,8,682,1272.0977637,2639,0,3638,638209,135365,56524,8680,3023,74.70685,3197.3004588,77881,87223,180033,254991,0,192096,268394,6277,1850.4958451,512211,53,48.4,51.05,100,NA
